exponent,points,replicate_index,mc_seed,sobol_scramble_seed,mc_estimate,mc_kv_estimate,mc_kv_beta,rqmc_estimate,rqmc_kv_estimate,rqmc_kv_beta
10,1024,0,20260716,20260717,6.364950302478949,5.788650342028397,1.0360906502554845,5.787463108469019,5.780689355639744,1.035429213994361
10,1024,1,20260718,20260719,6.29278589632416,5.785852575666723,1.0384260402335423,5.7735457212587535,5.783064750976691,1.035138290435356
10,1024,2,20260720,20260721,5.937546794341765,5.7753681507957095,1.0330359576641759,5.781459539874406,5.779877495775429,1.034832092370262
10,1024,3,20260722,20260723,5.723134042854671,5.782019217926326,1.0361279728073902,5.772726955005156,5.780476719529025,1.0350438342866866
10,1024,4,20260724,20260725,6.457185374014509,5.786112900246463,1.0370138750455735,5.78960228316274,5.781157638095528,1.0356074732001384
10,1024,5,20260726,20260727,5.557357918436221,5.785404415509512,1.0355277111075551,5.7721874793586405,5.782312236896002,1.0347710286355705
10,1024,6,20260728,20260729,5.995848032218903,5.773821287592127,1.0333872241415882,5.788698339753867,5.780797406963655,1.0346859969350617
10,1024,7,20260730,20260731,6.058855891496091,5.780842297088979,1.0343474197883888,5.776640246443966,5.779043296953311,1.0350985107304216
10,1024,8,20260732,20260733,5.397705572798854,5.7854772319582555,1.037277943331308,5.8214802451366925,5.787056529116781,1.039864009764588
10,1024,9,20260734,20260735,5.818625325710251,5.788358776788711,1.0367111116891927,5.7744866249694065,5.779706303095559,1.0351234025873841
10,1024,10,20260736,20260737,5.745648934372282,5.769992952873027,1.0321619432145557,5.786598420247864,5.781789632990555,1.0358362313309275
10,1024,11,20260738,20260739,6.11515268842938,5.794256825278395,1.0376087156500478,5.78730117231776,5.7819155099345805,1.0353086135893739
10,1024,12,20260740,20260741,5.624854991584229,5.785173906315612,1.0364737153574248,5.776243226974268,5.7802756989755935,1.0359220811700127
10,1024,13,20260742,20260743,5.7121004212156015,5.773128508974377,1.0312664676686252,5.775907396196785,5.785502762138552,1.034808301596157
10,1024,14,20260744,20260745,5.419833331655278,5.781987905263338,1.034365288718777,5.792231338131223,5.783690506588843,1.0354666445388707
10,1024,15,20260746,20260747,5.773468039016445,5.7791271727422115,1.033988664879463,5.793492990117297,5.783049384861915,1.03532781951717
11,2048,0,20260748,20260749,5.776067990233546,5.771940138757337,1.0310543433540846,5.7832089473648045,5.781429470547862,1.0350822606643861
11,2048,1,20260750,20260751,5.731708345611102,5.779142734557671,1.0337913853185567,5.7892391001333765,5.780894113795649,1.0350768639706796
11,2048,2,20260752,20260753,5.6850357511706555,5.789534563614002,1.037107917751039,5.777264249507913,5.782059984719389,1.0350274708591587
11,2048,3,20260754,20260755,5.9771343501719425,5.780784294229532,1.0374319956689553,5.784305336593568,5.780857908371474,1.0351065759847553
11,2048,4,20260756,20260757,5.913473171460873,5.783478957452377,1.0354329012546897,5.787568815975922,5.7820209825852915,1.0351776583503869
11,2048,5,20260758,20260759,6.307480424007411,5.783059618387859,1.0363630376941066,5.785916660959036,5.784021093282078,1.0349641325651866
11,2048,6,20260760,20260761,5.754905457507225,5.776959884768122,1.0351771323530643,5.79079427504214,5.782013596974858,1.0353788641822022
11,2048,7,20260762,20260763,5.749173725449597,5.772826771260021,1.0323032884209695,5.788455927367073,5.783018110909646,1.034736343630375
11,2048,8,20260764,20260765,5.715856639454329,5.783926103303923,1.0372212732920154,5.786491747228754,5.781966471458038,1.0352908591930239
11,2048,9,20260766,20260767,5.674671515883315,5.780427737782016,1.0339098051081255,5.776820544893955,5.781384325832761,1.034803438902954
11,2048,10,20260768,20260769,5.49038513452761,5.781989391621685,1.0346826435628202,5.776516492837435,5.780850481448046,1.0349115556017283
11,2048,11,20260770,20260771,5.755678234990051,5.7751932967441615,1.034060946323592,5.788834482425036,5.781960995352757,1.0347957382008275
11,2048,12,20260772,20260773,5.755832373504279,5.781257349166669,1.0356580084203937,5.781997245787282,5.780501628604117,1.0350165523296917
11,2048,13,20260774,20260775,5.56088725439785,5.77324143202973,1.0331725846307394,5.7784690205217615,5.783193909269947,1.0355751902222585
11,2048,14,20260776,20260777,5.4872245039145255,5.7742744559825265,1.033470504158996,5.771840508610566,5.7817439598902425,1.0351717008745756
11,2048,15,20260778,20260779,5.710838230827197,5.782291837825961,1.0360431792544895,5.787606216646399,5.781218254930825,1.03492301142991
12,4096,0,20260780,20260781,5.85111854391136,5.780233826415892,1.0344006739973863,5.786255150520693,5.781947747745843,1.035216759452421
12,4096,1,20260782,20260783,5.704432605703811,5.77946680641731,1.0349410219634985,5.77804505154972,5.782020220567709,1.035164773810214
12,4096,2,20260784,20260785,5.733063745581987,5.779117506459366,1.0342263800759288,5.787574481853309,5.782127733568704,1.0352158863762335
12,4096,3,20260786,20260787,5.748785976822727,5.783858661878246,1.0352797005911059,5.785892963208902,5.782722273623334,1.0352214132147155
12,4096,4,20260788,20260789,6.038920168396333,5.782976447294051,1.0354225938056865,5.771550184486363,5.782326406995703,1.0349574819353877
12,4096,5,20260790,20260791,5.820687562619357,5.784472341380219,1.0359555232264217,5.785378546516393,5.781211678023636,1.0350945009030816
12,4096,6,20260792,20260793,5.849787862652624,5.781953686436793,1.0362937249898196,5.779956678321632,5.78178720451056,1.0350744196371635
12,4096,7,20260794,20260795,5.996966949169188,5.782649772221854,1.0352546410022665,5.784147424069724,5.781065871364674,1.0350780261356964
12,4096,8,20260796,20260797,5.975383759536378,5.78932071717141,1.037713423622385,5.778152041458203,5.781553165983624,1.0352493847617084
12,4096,9,20260798,20260799,5.907554948231356,5.7781321211392545,1.0348865067804403,5.783475024221813,5.782100131743327,1.0350776458926023
12,4096,10,20260800,20260801,5.813679835001134,5.777610091043651,1.0333700348984858,5.779060138968557,5.780938314591661,1.0352788431936395
12,4096,11,20260802,20260803,5.788772690555042,5.777314496058565,1.034448907306451,5.777735201775021,5.781183406842001,1.035016257855868
12,4096,12,20260804,20260805,5.876518341052789,5.77992661109926,1.035610305855396,5.781431949823008,5.781757616586548,1.0348126639453925
12,4096,13,20260806,20260807,5.75930832372611,5.7813180388420236,1.035981941359584,5.773404815606824,5.782771698255909,1.035024582900147
12,4096,14,20260808,20260809,5.832545027308914,5.781339313315504,1.0346091865883777,5.782429449905941,5.781797704233168,1.0351173045486348
12,4096,15,20260810,20260811,5.876133904367049,5.782692060366545,1.0361931130130004,5.784324568475253,5.781403374269935,1.0351075619601182
13,8192,0,20260812,20260813,5.903456138716539,5.786478236580634,1.0355062241140758,5.783026757091957,5.781729326122201,1.0353863253048907
13,8192,1,20260814,20260815,5.57872438772953,5.778891015491838,1.0345177708080433,5.785309745650753,5.781474082247585,1.0351096897934093
13,8192,2,20260816,20260817,5.781926185381295,5.781664658020759,1.0364998652751067,5.78167668722236,5.781790394583801,1.0351019317860433
13,8192,3,20260818,20260819,5.689725859828715,5.78344226476648,1.0362501177116752,5.78038878207151,5.781829803410662,1.0350390811469279
13,8192,4,20260820,20260821,5.895238265633438,5.784022094554648,1.036494312063381,5.7811300448710945,5.781784581857434,1.0350917446325139
13,8192,5,20260822,20260823,5.886960578199259,5.780232804097786,1.035744748410073,5.780250639487674,5.781108625514575,1.0351850213059024
13,8192,6,20260824,20260825,5.656910556862124,5.782709249131768,1.0359495865014796,5.784028049414068,5.782413192670626,1.0353639748997872
13,8192,7,20260826,20260827,5.778689682844868,5.780382470579396,1.0356209331557173,5.7815455491965455,5.781620134157365,1.035187842836289
13,8192,8,20260828,20260829,5.685160502835386,5.7832007636707905,1.035295745139553,5.782494279770979,5.782261839010309,1.0351018766555045
13,8192,9,20260830,20260831,5.88201130124145,5.778555641259621,1.0347991337813587,5.780938377299767,5.782730965795774,1.035008228256121
13,8192,10,20260832,20260833,5.775505473020374,5.78228770256066,1.0346450543558472,5.780813338882259,5.78115891422008,1.0351825964117796
13,8192,11,20260834,20260835,5.866217490542336,5.780679992242275,1.0350467337632898,5.780716648514226,5.782429669428064,1.035091097930711
13,8192,12,20260836,20260837,5.734303743917211,5.778424724521117,1.034345056367273,5.782282037538368,5.781271270730464,1.0352953120190886
13,8192,13,20260838,20260839,5.776799884987487,5.78203185073783,1.0357758315882872,5.777156154923462,5.781660415786724,1.0350579506940825
13,8192,14,20260840,20260841,5.896126332882686,5.783245024529922,1.0348792486903007,5.778797698260327,5.7819651769824905,1.0353004992270207
13,8192,15,20260842,20260843,5.840866050963236,5.779832070119121,1.034870787310197,5.778635160923839,5.7825486660165755,1.035058809261784
14,16384,0,20260844,20260845,5.798740936335298,5.785358300854597,1.0356411414327442,5.779237811704321,5.7820871913801595,1.0351264353733263
14,16384,1,20260846,20260847,5.781600248480647,5.78206041377238,1.0352196057708907,5.779843099143154,5.781627142209354,1.0352190149220841
14,16384,2,20260848,20260849,5.794205164446939,5.7826797469893405,1.0355265219000929,5.7827467394241765,5.781571867906343,1.0351897043800684
14,16384,3,20260850,20260851,5.734528045311503,5.784420243117402,1.0357459397464697,5.782798811101148,5.781352233345744,1.0352403736733085
14,16384,4,20260852,20260853,5.760846690635711,5.784331067387202,1.0368295551099558,5.7803151571130265,5.78174766822771,1.0351962486884072
14,16384,5,20260854,20260855,5.781625335774308,5.780606798582632,1.0351512495589277,5.782571367275901,5.781780874697105,1.0352058616577213
14,16384,6,20260856,20260857,5.836381357386861,5.781871557375061,1.0351021020307345,5.784162087764789,5.782034654072552,1.0352098271543269
14,16384,7,20260858,20260859,5.872022792304851,5.782468447892227,1.0358026554104596,5.780586404171984,5.781263880828242,1.0351651088051907
14,16384,8,20260860,20260861,5.758338987011504,5.779577441798786,1.03439356355015,5.782019776827182,5.7818848322042085,1.0352714997638333
14,16384,9,20260862,20260863,5.7741470788449325,5.778462674876434,1.0345036282968458,5.782177643678868,5.781856480775274,1.0351902344897508
14,16384,10,20260864,20260865,5.772060410903958,5.78121508898653,1.0353642142496657,5.781713050123432,5.78154033895807,1.0351377941146795
14,16384,11,20260866,20260867,5.941532873151312,5.777931407629373,1.0350394524057174,5.781424152013482,5.78183256602325,1.0352443326856093
14,16384,12,20260868,20260869,5.793064177996693,5.783675254349618,1.0361038831277103,5.781276177297532,5.781532561697205,1.0351834233532684
14,16384,13,20260870,20260871,5.854781011450309,5.780141120813142,1.0345318351922124,5.782238238358747,5.781798218061706,1.0352225762384186
14,16384,14,20260872,20260873,5.835331886002273,5.781524498579925,1.0353149896985836,5.7818229960952365,5.781824409884345,1.035158231038271
14,16384,15,20260874,20260875,5.841850263228555,5.7801714414744385,1.0350136885044312,5.780026457670059,5.781850170178684,1.035220083065991
15,32768,0,20260876,20260877,5.860110522085389,5.781131420607829,1.035004178373425,5.782665763302232,5.781537177571596,1.035213103454456
15,32768,1,20260878,20260879,5.740993803922639,5.782146379439603,1.0350252307124161,5.782754778329732,5.781654741846865,1.0351925513198164
15,32768,2,20260880,20260881,5.8582409059189455,5.783444701241708,1.0358007139706396,5.78378672555387,5.7817591715606005,1.035195570657849
15,32768,3,20260882,20260883,5.846099935141348,5.781952192757827,1.0355029995025269,5.781102651900872,5.782033635139508,1.0351922830340528
15,32768,4,20260884,20260885,5.744662754446644,5.784013208838579,1.0355682780583448,5.7814061256440645,5.781740663167468,1.035196134028917
15,32768,5,20260886,20260887,5.719573786902886,5.783104639578512,1.0351569023829086,5.7821687107191195,5.781710823010396,1.035177338110366
15,32768,6,20260888,20260889,5.813526223041757,5.784281942571168,1.0359133921398813,5.782148190697932,5.781734072999298,1.0352482257325089
15,32768,7,20260890,20260891,5.7605905573450915,5.782019503241831,1.0350603387766337,5.7812151718697535,5.782090238128553,1.0351847808848174
15,32768,8,20260892,20260893,5.790675076118019,5.7808038261921775,1.035037262305648,5.78223944031174,5.781720619049552,1.0351871760129743
15,32768,9,20260894,20260895,5.841541121393277,5.782307513126129,1.035141520249533,5.781994473381743,5.78224070003525,1.035175610320968
15,32768,10,20260896,20260897,5.829111289217178,5.781292816530968,1.0357684973328383,5.78159525748514,5.781528202698083,1.0351935136340538
15,32768,11,20260898,20260899,5.782275924269821,5.781524134770343,1.0348182559194223,5.782325537515866,5.782019908578642,1.0352143158868825
15,32768,12,20260900,20260901,5.77619850573244,5.782795281624754,1.0351236420527035,5.782952165148005,5.782117294021238,1.0351427592507612
15,32768,13,20260902,20260903,5.756530554945493,5.780957769287471,1.035160062152067,5.781840825872847,5.781857229619959,1.0351654720222883
15,32768,14,20260904,20260905,5.694504349597139,5.783591109904843,1.035345849646244,5.7811597210325,5.781778520854512,1.0352037797203422
15,32768,15,20260906,20260907,5.8159577294413705,5.7834708159798875,1.0351454991849054,5.7836609092083,5.7816656556395385,1.0351887143382053
16,65536,0,20260908,20260909,5.770401387737982,5.781001316231361,1.0348541281895682,5.782085338306839,5.781762986387522,1.03519106990031
16,65536,1,20260910,20260911,5.833989463701885,5.784239879663594,1.0355553596570772,5.78194728691126,5.781801566769471,1.0351871072760264
16,65536,2,20260912,20260913,5.74288466588291,5.781157145877505,1.0350319264361796,5.781902037087418,5.781869707358797,1.0352026546337845
16,65536,3,20260914,20260915,5.719058704019373,5.78133363531075,1.0351693594215625,5.781822791833544,5.781993109664139,1.0351686835615037
16,65536,4,20260916,20260917,5.796611449444426,5.781983484170406,1.0353151335142259,5.781876680052713,5.781997941938298,1.0351775496948648
16,65536,5,20260918,20260919,5.775438066443662,5.781031713742646,1.0349575386378695,5.782167456525512,5.781857075072937,1.0351659652535292
16,65536,6,20260920,20260921,5.735800959636405,5.783054200786413,1.0351287229125303,5.782523278327151,5.78175376341526,1.0351764245504913
16,65536,7,20260922,20260923,5.823481745886864,5.781237159057232,1.035020485008227,5.781916390822868,5.781762675663052,1.035201572660592
16,65536,8,20260924,20260925,5.765845566690281,5.7823074369632455,1.035405547805031,5.781749820368944,5.781739457238756,1.0352107826915458
16,65536,9,20260926,20260927,5.78876002274233,5.780423499870004,1.0347185616771484,5.781995650368598,5.781752120780507,1.0351749734032534
16,65536,10,20260928,20260929,5.769457689685488,5.7811714212458805,1.0352599988842242,5.782482182824662,5.7819134459837285,1.0352058111208848
16,65536,11,20260930,20260931,5.773986472575576,5.780797569651215,1.03537398300004,5.781680191744871,5.781669233151712,1.0352043523547847
16,65536,12,20260932,20260933,5.767457481184852,5.782624174934087,1.035216522386483,5.782013403281813,5.782060046006954,1.0351635806647044
16,65536,13,20260934,20260935,5.766908026188325,5.782098658983838,1.0354292445179332,5.7825418887383755,5.781791332396303,1.0352233410661666
16,65536,14,20260936,20260937,5.771573504401265,5.782128415356893,1.0352597331324283,5.782296525043357,5.781728035759126,1.0351927593580843
16,65536,15,20260938,20260939,5.793752781944329,5.781182153174033,1.0352415357124394,5.781420232049248,5.781868139752448,1.0351882404851676
