block_count,cap_dollars,evaluation_clipping_loss,threshold_bits,selected_ratio,implemented_ratio,q_t,per_query_t_overhead,net_t_reduction,q_qubits,qubit_overhead,encoded_control_discounted,encoded_control_se,continuous_control_discounted,continuous_control_se,transpiled
1,2.800265599810888,0.0008856567568252455,24,20.364918596805456,16.0,224776209,1.0675948755930582,14.986958410709738,31711,1.0687540022243942,5.56809687513442,0.000762576813598867,5.56551141278311,6.357955288579502e-06,True
2,0.6711716424851191,0.0009375371221117062,22,84.96661268111863,64.0,236712203,1.1242859555173996,56.92501955211832,33421,1.1263860335007245,5.681708269545975,0.0013605209101829425,5.678840642122304,6.9626479879862e-06,True
3,0.3149312337239583,0.0009759879093413623,21,181.0782002002649,128.0,249112283,1.1831812537513153,108.18291753201106,35133,1.1840854706615886,5.715929949110338,0.0015748799224936365,5.714213277005193,1.765312650941036e-05,True
4,0.1933525933159722,0.0009610632385340763,20,294.9387955525938,256.0,258544349,1.2279797018284226,208.47250131156414,36435,1.2279667014930404,5.7350249629825525,0.0015957723429263094,5.731545947389508,4.55368834738247e-05,True
6,0.10248069157676092,0.0009774948142189967,19,556.4675658620861,512.0,279860315,1.3292218046788888,385.18778295522173,39389,1.3275251929493446,5.74878735025003,0.0013620765056689922,5.7487292132915595,0.00012941577448406466,True
12,0.040771242171999005,0.0009848733067893193,18,1398.7109038524372,1024.0,338009539,1.6054067881266383,637.8445684753293,47453,1.5993057193893028,5.767380185976203,0.0017130383652335774,5.765153087313863,0.00028669281968433724,False
