block_count,dates_per_block,cutoff_dollars,realised_discounted_loss,cutoff_units,threshold_bits,amplitude_scale_dollars,register_fill_fraction,selected_ratio,implemented_ratio,rounding_factor
1,252,2.7493047277249616,0.0009998612029754738,11351241,24,4.063492063492063,0.6765866875648499,20.356371768983745,16,1.272273235561484
2,126,0.6659321902226907,0.0009999930994899838,2749480,22,1.0158730158730158,0.6555271148681641,84.0413933512941,64,1.3131467711139704
3,84,0.31365340190812674,0.0009999945681983587,1295002,21,0.5079365079365079,0.6175050735473633,178.43220830165617,128,1.3940016273566889
4,63,0.18978842868796164,0.0009999881420292606,783592,20,0.25396825396825395,0.7472915649414062,294.88557089963354,256,1.1518967613266935
6,42,0.09839908019662857,0.0009999832297144593,406267,19,0.12698412698412698,0.7748928070068359,568.7641493391876,512,1.1108674791781008
12,21,0.035770860498956836,0.0009999985748657234,147690,18,0.06349206349206349,0.5633926391601562,1564.5659165908535,1024,1.5278964029207553
