sigma,trial_index,path_panel_seed,n_paths,strike,vanilla_estimate,vanilla_se,cv_estimate,cv_se,beta,payoff_correlation,geometric_exact
0.1,0,20260716,500000,90.0,11.95632486970161,0.007967864402663212,11.961140051153885,0.00010738234738108745,1.008502323228622,0.9999091820607284,11.871913478172798
0.1,0,20260716,500000,95.0,7.4151830771921325,0.007469479103525069,7.419261027868082,9.719430639045399e-05,1.011570489009771,0.9999153378281447,7.337430824192104
0.1,0,20260716,500000,100.0,3.6486894589182644,0.0059801794601136325,3.6539438804459525,8.700538771566385e-05,1.017838826133348,0.99989415829006,3.5848072672843276
0.1,0,20260716,500000,105.0,1.3146365077988176,0.0037685884946470696,1.3202464855329663,8.008146541144424e-05,1.031165418368984,0.9997741991217708,1.270574186805144
0.1,0,20260716,500000,110.0,0.3329580739339213,0.0018522394384759978,0.3356306536815512,7.032210208381516e-05,1.0572225461871871,0.9992790319434425,0.31030219661698605
0.1,1,20260717,500000,90.0,11.97001497693703,0.007986319922360692,11.961127681094139,0.00010749151472094564,1.00852679215647,0.9999094174310794,11.871913478172798
0.1,1,20260717,500000,95.0,7.4287749074186165,0.007488264952522212,7.419273599953216,9.740425288543363e-05,1.011566055402082,0.9999153977700719,7.337430824192104
0.1,1,20260717,500000,100.0,3.6628164229979987,0.005997973512455334,3.653888570372555,8.727961252632872e-05,1.0178097817468728,0.9998941210737659,3.5848072672843276
0.1,1,20260717,500000,105.0,1.3255937511803209,0.003783330726605197,1.3201191216479276,8.024745196151737e-05,1.0310958661559666,0.9997750257838254,1.270574186805144
0.1,1,20260717,500000,110.0,0.3363567290007691,0.0018602217030838522,0.33564760188668874,7.102792389497555e-05,1.0570619328456738,0.9992707822887172,0.31030219661698605
0.1,2,20260718,500000,90.0,11.966198832075891,0.00797027179636745,11.96109878918792,0.00010739440922671809,1.0085364638867815,0.9999092165252307,11.871913478172798
0.1,2,20260718,500000,95.0,7.42457543135337,0.0074728188402014934,7.419219075121896,9.724643901165183e-05,1.0115980537329106,0.9999153227201162,7.337430824192104
0.1,2,20260718,500000,100.0,3.655578570954502,0.005985430350446949,3.6539838564495275,8.718792043681514e-05,1.017845847330512,0.9998939001134118,3.5848072672843276
0.1,2,20260718,500000,105.0,1.318372072891193,0.0037749190806364,1.3202295614216306,8.012864714376626e-05,1.0311755681161712,0.9997746906264153,1.270574186805144
0.1,2,20260718,500000,110.0,0.33435640957055235,0.0018586848150406617,0.3356644800621448,7.094926238321108e-05,1.0571835525785478,0.9992711929596961,0.31030219661698605
0.1,3,20260719,500000,90.0,11.966476944668658,0.007971280618826586,11.961283428665691,0.0001079242494498455,1.0085976850033123,0.999908341702563,11.871913478172798
0.1,3,20260719,500000,95.0,7.423617050651024,0.007476742088083311,7.419465191136679,9.793322617910081e-05,1.0116422520014148,0.999914212510901,7.337430824192104
0.1,3,20260719,500000,100.0,3.6552448077685273,0.005989207035114482,3.6541516286816837,8.774285610529118e-05,1.0179252533348948,0.9998926806111386,3.5848072672843276
0.1,3,20260719,500000,105.0,1.318104196904324,0.003779937688988655,1.320447553279697,8.073834750243262e-05,1.0312772491358517,0.999771855512666,1.270574186805144
