beta,variance_dollars_squared,grid_min_dollars,grid_max_dollars,grid_oscillation_dollars,signed_on_grid
0.85,2.1446050842323245,0.0,20.952258055390615,20.952258055390615,False
0.8524999999999999,2.086292961735708,0.0,20.75189225679503,20.75189225679503,False
0.855,2.0288016024464213,0.0,20.551526458199433,20.551526458199433,False
0.8574999999999999,1.9721310063644495,0.0,20.351160659603863,20.351160659603863,False
0.86,1.9162811734897645,0.0,20.150794861008265,20.150794861008265,False
0.8624999999999999,1.8612521038224372,0.0,19.95042906241268,19.95042906241268,False
0.865,1.8070437973623967,0.0,19.750063263817097,19.750063263817097,False
0.8674999999999999,1.7536562541096998,0.0,19.549697465221513,19.549697465221513,False
0.87,1.7010894740642897,0.0,19.349331666625915,19.349331666625915,False
0.8724999999999999,1.649343457226209,0.0,19.14896586803033,19.14896586803033,False
0.875,1.5984182035954575,0.0,18.948600069434747,18.948600069434747,False
0.8775,1.548313713172007,0.0,18.748234270839163,18.748234270839163,False
0.88,1.499029985955886,0.0,18.547868472243564,18.547868472243564,False
0.8825,1.4505670219470659,0.0,18.34750267364798,18.34750267364798,False
0.885,1.4029248211455752,0.0,18.147136875052396,18.147136875052396,False
0.8875,1.3561033835513854,0.0,17.946771076456812,17.946771076456812,False
0.89,1.310102709164525,0.0,17.74640527786123,17.74640527786123,False
0.8925,1.2649227979849798,0.0,17.546039479265644,17.546039479265644,False
0.895,1.2205636500127497,0.0,17.345673680670046,17.345673680670046,False
0.8975,1.177025265247849,0.0,17.145307882074462,17.145307882074462,False
0.8999999999999999,1.134307643690235,0.0,16.944942083478878,16.944942083478878,False
0.9025,1.0924107853399647,0.0,16.744576284883294,16.744576284883294,False
0.905,1.0513346901969953,0.0,16.544210486287696,16.544210486287696,False
0.9075,1.0110793582613553,0.0,16.343844687692112,16.343844687692112,False
0.9099999999999999,0.9716447895330305,0.0,16.143478889096528,16.143478889096528,False
0.9125,0.9330309840120066,0.0,15.943113090500944,15.943113090500944,False
0.9149999999999999,0.8952379416983263,0.0,15.74274729190536,15.74274729190536,False
0.9175,0.8582656625919327,0.0,15.542381493309776,15.542381493309776,False
0.9199999999999999,0.8221141466928685,0.0,15.342015694714192,15.342015694714192,False
0.9225,0.7867833940011195,0.0,15.141649896118594,15.141649896118594,False
0.9249999999999999,0.7522734045166999,0.0,14.94128409752301,14.94128409752301,False
0.9275,0.7185841782395954,0.0,14.740918298927426,14.740918298927426,False
0.9299999999999999,0.6857157151697919,0.0,14.540552500331842,14.540552500331842,False
0.9325,0.6536680153073178,0.0,14.340186701736243,14.340186701736243,False
0.9349999999999999,0.6224410786521446,0.0,14.13982090314066,14.13982090314066,False
0.9375,0.5920349052042866,0.0,13.939455104545075,13.939455104545075,False
0.94,0.5624494949637722,0.0,13.739089305949491,13.739089305949491,False
0.9425,0.5336848479305445,0.0,13.538723507353893,13.538723507353893,False
0.945,0.5057409641046604,0.0,13.338357708758323,13.338357708758323,False
0.9475,0.4786178434860915,0.0,13.137991910162725,13.137991910162725,False
0.95,0.45231548607483774,0.0,12.937626111567141,12.937626111567141,False
0.9524999999999999,0.4268338918708423,0.0,12.737260312971557,12.737260312971557,False
0.955,0.4021730608742473,0.0,12.536894514375973,12.536894514375973,False
0.9575,0.37833299308493906,0.0,12.336528715780375,12.336528715780375,False
0.96,0.355313688502946,0.0,12.136162917184791,12.136162917184791,False
0.9624999999999999,0.33311514712823964,0.0,11.935797118589207,11.935797118589207,False
0.965,0.3117373689609053,0.0,11.735431319993623,11.735431319993623,False
0.9674999999999999,0.2911803540008293,0.0,11.535065521398039,11.535065521398039,False
0.97,0.2714441022480969,0.0,11.33469972280244,11.33469972280244,False
0.9724999999999999,0.25252861370267965,0.0,11.13433392420687,11.13433392420687,False
0.975,0.234433888364606,0.0,10.933968125611273,10.933968125611273,False
0.9774999999999999,0.21715992623381908,0.0,10.733602327015689,10.733602327015689,False
0.98,0.20070672731034733,0.0,10.533236528420105,10.533236528420105,False
0.9824999999999999,0.18507429159421918,0.0,10.33287072982452,10.33287072982452,False
0.985,0.17026261908537776,0.0,10.132504931228922,10.132504931228922,False
0.9874999999999999,0.15627170978385152,0.0,9.932139132633338,9.932139132633338,False
0.99,0.14310156368966886,0.0,9.731773334037754,9.731773334037754,False
0.9924999999999999,0.13075218080280138,0.0,9.53140753544217,9.53140753544217,False
0.995,0.11922356112322063,0.0,9.331041736846572,9.331041736846572,False
0.9974999999999999,0.10851570465098348,0.0,9.130675938251002,9.130675938251002,False
1.0,0.09862861138603307,0.0,8.930310139655404,8.930310139655404,False
1.0025,0.08956228132842625,-0.015379047074468133,8.72994434105982,8.745323388134288,True
1.005,0.0813167144781346,-0.04997420881415593,8.529578542464236,8.579552751278392,True
