European Call Parameters: S0=100.0, K=100.0, r=0.05, sigma=0.2, T=1.0
Black-Scholes analytic price: 10.450584
Each row: mean over 50 independent trials

       Paths   Mean Stderr  Mean |Error|   Q25 |Err|   Q75 |Err|
----------------------------------------------------------------
         500       0.66716       0.59726     0.29014     0.86844
       1,000       0.46531       0.37687     0.20412     0.51144
       2,000       0.33123       0.24990     0.10629     0.36404
       5,000       0.20775       0.15558     0.05735     0.21699
      10,000       0.14720       0.12519     0.04432     0.19035
      20,000       0.10418       0.10044     0.03672     0.14357
      50,000       0.06584       0.05842     0.01999     0.08015
     100,000       0.04657       0.03303     0.01201     0.04973
     200,000       0.03291       0.02120     0.00859     0.02720
     500,000       0.02081       0.01456     0.00656     0.02072
